date,eng,it
2022/07,43224880,6389563
2022/08,43357904,6411856
2022/09,43506321,6433195
2022/10,43677572,6460078
2022/11,43827182,6486494
2022/12,43985939,6511684
2023/01,44170817,6538065
2023/02,44351370,6561829
2023/03,44527873,6589670
2023/04,44688268,6612283
2023/05,44842963,6635946
2023/06,45008925,6657411
2023/07,45222995,6679045
2023/08,45365106,6701172
2023/09,45514725,6723835
2023/10,45674350,6748277
2023/11,45852245,6771836
2023/12,46015457,6792566
2024/01,46215578,6816165
2024/02,46390984,6839392
2024/03,46584802,6864695
2024/04,46792699,6888477
